Strain	Accession	Date	Region	Country	Division	Authors	Journal	Title	Url	CTiter	CTiterSub	Clade Membership	Clock Length	DTiter	DTiterSub	Ep	Lbi	Ne	Num Date	Raw Date
A/Taiwan/206/2009	EPI229789	2009-09-17	China	Taiwan	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.03	2.00	2009.71	2009-09-18
A/Shanghai-Luwan/SWL1354/2010	EPI1338959	2010-06-01	China	China	unknown	Who Chinese National Influenza Center	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	3.00	0.00	2.00	2010.42	2010-06-02
A/Moldova/717/2010	EPI278135	2010-02-03	Europe	Moldova	unknown	National Institute For Medical Research	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.01	3.00	2010.10	2010-02-04
A/Idaho/14/2009	EPI232912	2009-11-08	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.02	2.00	2009.86	2009-11-09
A/Oita/61/2010	EPI287184	2010-08-06	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	4.00	2010.60	2010-08-06
A/Guam/2/2010	EPI269921	2010-02-28	Oceania	Guam	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.01	5.00	2010.16	2010-03-01
A/Assam/2257/2009	EPI687686	2009-10-27	South Asia	India	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.02	2.00	2009.82	2009-10-28
A/Niigata/1233/2009	EPI230119	2009-10-13	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.02	3.00	2009.79	2009-10-14
A/Brisbane/114/2009	EPI228305	2009-11-06	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.02	3.00	2009.85	2009-11-06
A/Akita/5/2010	EPI278672	2010-02-06	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.01	5.00	2010.10	2010-02-06
A/Darwin/2145/2009	EPI269865	2009-12-29	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.01	3.00	2009.99	2009-12-29
A/Victoria/1/2010	EPI269911	2010-01-11	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.01	3.00	2010.03	2010-01-11
A/Nagasaki/9N079/2009	EPI349497	2009-11-26	Japan Korea	Japan	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.02	2.00	2009.91	2009-11-27
A/Bangalore/11658-15/2009	EPI615382	2009-12-25	South Asia	India	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.01	3.00	2009.99	2009-12-26
A/Singapore/TT421/2010	EPI385589	2010-07-23	Southeast Asia	Singapore	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.00	6.00	2010.56	2010-07-23
A/NorthCarolina/35/2009	EPI217066	2009-09-16	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.03	2.00	2009.71	2009-09-16
A/Vanimo/7/2010	EPI294254	2010-05-10	Oceania	Papua New Guinea	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.00	2.00	2010.36	2010-05-10
A/NewYork/2648/2010	EPI254850	2010-01-22	North America	USA	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.01	3.00	2010.06	2010-01-22
A/NewYork/352/2009	EPI254770	2009-12-26	North America	USA	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.01	2.00	2009.99	2009-12-27
A/Singapore/DMS145/2010	EPI634314	2010-10-15	Southeast Asia	Singapore	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	4.00	2010.79	2010-10-15
A/India/Bangalore/2010	EPI354382	2010-03-22	South Asia	India	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.00	2.00	2010.22	2010-03-22
A/Bangalore/3934-28/2010	EPI615384	2010-07-23	South Asia	India	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.00	2.00	2010.56	2010-07-23
A/Shanghai-Luwan/SWL143/2010	EPI257800	2010-01-15	China	China	unknown	Who Chinese National Influenza Center	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.01	2.00	2010.04	2010-01-15
A/Ghana/FS-1976/2010	EPI278360	2010-04-06	Africa	Ghana	unknown	National Institute For Medical Research	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	3.00	2010.26	2010-04-06
A/Ghana/FS-10-4023/2010	EPI331010	2010-07-14	Africa	Ghana	unknown	National Institute For Medical Research	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.00	6.00	2010.53	2010-07-14
A/Ghana/FS-390/2010	EPI278356	2010-03-08	Africa	Ghana	unknown	National Institute For Medical Research	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.01	3.00	2010.19	2010-03-09
A/Ghana/FS-2135/2010	EPI278370	2010-04-06	Africa	Ghana	unknown	National Institute For Medical Research	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.00	3.00	2010.27	2010-04-07
A/Ghana/FS-10-4466/2010	EPI301415	2010-09-27	Africa	Ghana	unknown	National Institute For Medical Research	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.00	4.00	2010.74	2010-09-28
A/CostaRica/5529/2010	EPI295453	2010-05-06	North America	Costa Rica	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	3.00	2010.35	2010-05-07
A/Luxembourg/42/2010	EPI256849	2010-01-06	Europe	Luxembourg	unknown	National Institute For Medical Research	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.01	2.00	2010.02	2010-01-06
A/Taiwan/151/2010	EPI295386	2010-08-03	China	Taiwan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	3.00	0.00	4.00	2010.59	2010-08-04
A/Taiwan/3093/2010	EPI382358	2010-10-01	China	Taiwan	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	3.00	0.00	4.00	2010.75	2010-10-XX
A/Singapore/DMS86/2010	EPI634401	2010-03-11	Southeast Asia	Singapore	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	2.00	2010.19	2010-03-12
A/Philippines/2638/2010	EPI294118	2010-06-29	Southeast Asia	Philippines	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	2.00	2010.49	2010-06-29
A/Brisbane/7/2010	EPI269960	2010-03-11	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	2.00	2010.19	2010-03-12
A/Hyogo/3024/2010	EPI294034	2010-09-27	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	3.00	2010.74	2010-09-27
A/Singapore/GP185/2010	EPI385281	2010-05-03	Southeast Asia	Singapore	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	2.00	2010.34	2010-05-04
A/Taiwan/65642/2010	EPI382343	2010-05-03	China	Taiwan	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	2.00	2010.34	2010-05-XX
A/Hawaii/19/2010	EPI302126	2010-09-15	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	3.00	2010.71	2010-09-15
A/Singapore/GP2726/2010	EPI385332	2010-05-31	Southeast Asia	Singapore	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	2.00	2010.41	2010-05-31
A/Townsville/10/2010	EPI294204	2010-08-13	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	2.00	2010.62	2010-08-13
A/Southauckland/20/2010	EPI294147	2010-07-19	Oceania	New Zealand	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	2.00	2010.55	2010-07-19
A/Victoria/662/2010	EPI302423	2010-11-17	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	4.00	2010.88	2010-11-17
A/Chile/23/2010	EPI324641	2010-07-16	South America	Chile	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	4.00	2010.54	2010-07-17
A/Chile/106/2010	EPI326077	2010-08-24	South America	Chile	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	4.00	2010.65	2010-08-24
A/Alabama/6/2010	EPI278844	2010-07-19	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	4.00	2010.55	2010-07-19
A/Southaustralia/397/2010	EPI294243	2010-09-20	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	4.00	2010.72	2010-09-20
A/Darwin/23/2010	EPI279012	2010-06-23	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	2.00	2010.48	2010-06-24
A/Darwin/3/2010	EPI279000	2010-06-20	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	2.00	2010.47	2010-06-21
A/Bangkok/INS499/2010	EPI332205	2010-08-24	Southeast Asia	Thailand	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	2.00	2010.65	2010-08-24
A/Taiwan/439/2010	EPI301692	2010-09-05	China	Taiwan	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	2.00	2010.68	2010-09-06
A/Taiwan/729/2010	EPI295389	2010-09-09	China	Taiwan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	2.00	2010.69	2010-09-10
A/Wakayama-C/50/2010	EPI321421	2010-12-08	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	3.00	2010.94	2010-12-09
A/Nara/48/2011	EPI321486	2011-02-08	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	3.00	2011.11	2011-02-08
A/India/3508/2010	EPI295462	2010-09-15	South Asia	India	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.00	4.00	2010.71	2010-09-15
A/Mississippi/4/2010	EPI280314	2010-08-10	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.00	5.00	2010.61	2010-08-11
A/England/67/2010	EPI369829	2010-08-06	Europe	United Kingdom	unknown	Microbiology Services Colindale Public Health England	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.00	6.00	2010.60	2010-08-06
A/Finland/706/2009	EPI292285	2009-11-18	Europe	Finland	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.04	3.00	2009.88	2009-11-18
A/Myanmar/M538/2009	EPI284316	2009-11-08	Southeast Asia	Myanmar	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.05	4.00	2009.86	2009-11-09
A/Arizona/5/2010	EPI273659	2010-05-10	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.01	3.00	2010.36	2010-05-11
A/Panama/307207/2010	EPI278854	2010-06-13	North America	Panama	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	5.00	2010.45	2010-06-14
A/CostaRica/6692/2010	EPI295456	2010-07-15	North America	Costa Rica	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	3.00	0.00	4.00	2010.54	2010-07-16
A/Yokosuka/50/2010	EPI278702	2010-06-18	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.01	6.00	2010.46	2010-06-18
A/Chiba-C/41/2010	EPI277581	2010-06-07	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.01	7.00	2010.43	2010-06-07
A/Nagano/2142/2010	EPI277572	2010-05-27	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.01	4.00	2010.40	2010-05-27
A/Toyama/90/2010	EPI338686	2010-04-16	Japan Korea	Japan	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.01	4.00	2010.29	2010-04-16
A/Saitama/84/2010	EPI278675	2010-05-17	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.01	5.00	2010.38	2010-05-18
A/Saitama/77/2010	EPI272621	2010-03-08	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.03	3.00	2010.18	2010-03-08
A/SriLanka/33/2011	EPI610788	2011-01-02	South Asia	Sri Lanka	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	10.00	2011.01	2011-01-02
A/Uganda/617/2011	EPI356256	2011-11-14	Africa	Uganda	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.00	Unassigned	0.01	0.00	0.00	2.00	0.00	6.00	2011.87	2011-11-14
A/India/8910/2010	EPI280311	2010-05-08	South Asia	India	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.02	3.00	2010.35	2010-05-08
A/Bangalore/5274-20/2010	EPI615391	2010-08-10	South Asia	India	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.01	6.00	2010.61	2010-08-11
A/Srinigar/126/2011	EPI537434	2011-02-13	South Asia	India	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	6.00	2011.12	2011-02-14
A/FuZhou/SWL11615/2010	EPI585866	2010-12-11	China	China	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	5.00	2010.95	2010-12-12
A/Nanping/SWL1132/2011	EPI585875	2011-03-01	China	China	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	5.00	2011.17	2011-03-02
A/Norway/1227/2010	EPI304453	2010-10-20	Europe	Norway	unknown	Norwegian Institute Of Public Health	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	5.00	2010.80	2010-10-20
A/Newcaledonia/6/2011	EPI331373	2011-02-10	Oceania	New Caledonia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	5.00	2011.11	2011-02-11
A/Argentina/7/2011	EPI309795	2011-01-03	South America	Argentina	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	4.00	2011.01	2011-01-04
A/Bangalore/4080-23/2010	EPI615385	2010-07-26	South Asia	India	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.01	3.00	2010.57	2010-07-27
A/Hawaii/16/2010	EPI301713	2010-10-05	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	3.00	0.00	6.00	2010.76	2010-10-05
A/Helsinki/11IH2213/2011	EPI473643	2011-04-14	Europe	Finland	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.00	6.00	2011.29	2011-04-15
A/Beijing/3848/2010	EPI307832	2010-10-31	China	China	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	4.00	2010.84	2010-11-XX
A/Moscow/IIV-33/2010	EPI307166	2010-10-12	West Asia	Russia	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	4.00	2010.78	2010-10-13
A/Singapore/TT474/2010	EPI385788	2010-11-02	Southeast Asia	Singapore	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	5.00	2010.84	2010-11-02
A/Saitama/177/2010	EPI329084	2010-12-29	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	5.00	2011.00	2010-12-30
A/Chiba-C/16/2011	EPI329099	2011-03-07	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	5.00	2011.18	2011-03-07
A/Tehran/5675/2010	EPI304607	2010-12-18	West Asia	Iran	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	4.00	2010.96	2010-12-18
A/Victoria/504/2011	EPI331286	2011-01-10	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	4.00	2011.03	2011-01-10
A/Singapore/GP382/2011	EPI381131	2011-01-28	Southeast Asia	Singapore	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	5.00	2011.08	2011-01-28
A/Songkhla/40/2012	EPI379536	2012-03-07	Southeast Asia	Thailand	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	6.00	2012.18	2012-03-06
A/Ayutthaya/283/2012	EPI406032	2012-09-24	Southeast Asia	Thailand	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	3.00	0.00	6.00	2012.73	2012-09-24
A/Gyeongnam/3526/2012	EPI426460	2012-12-19	Japan Korea	South Korea	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	6.00	2012.97	2012-12-19
A/Perth/298/2012	EPI450265	2012-12-25	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	7.00	2012.98	2012-12-24
A/Brunei/237/2010	EPI302345	2010-09-02	Southeast Asia	Brunei	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.00	0.00	7	0.00	0.00	0.00	2.00	0.01	5.00	2010.67	2010-XX-XX
A/Taiwan/3002/2010	EPI382356	2010-10-01	China	Taiwan	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	7	0.00	0.00	0.00	2.00	0.00	6.00	2010.75	2010-10-XX
A/Arkansas/6/2010	EPI302129	2010-11-29	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.00	7	0.00	0.00	0.00	2.00	0.00	5.00	2010.91	2010-11-30
A/Mississippi/4/2011	EPI310026	2011-01-13	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.00	7	0.00	0.00	0.00	2.00	0.00	5.00	2011.04	2011-01-13
A/Tennessee/F2005A/2010	EPI511978	2010-12-10	North America	USA	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	7	0.00	0.00	0.00	2.00	0.00	5.00	2010.94	2010-12-10
A/Taiwan/3502/2010	EPI382368	2010-12-30	China	Taiwan	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	7	0.00	0.00	0.00	2.00	0.00	6.00	2011.00	2010-12-XX
A/Ardebil/3295/2011	EPI443129	2011-02-05	West Asia	Iran	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	7	0.00	0.00	0.00	2.00	0.00	5.00	2011.10	2011-02-05
A/Sydney/17/2011	EPI349167	2011-05-17	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.00	0.00	7	0.00	0.00	0.00	4.00	0.00	6.00	2011.38	2011-05-17
A/HongKong/3973/2011	EPI331207	2011-06-20	China	Hong Kong	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.00	7	0.00	0.00	0.00	3.00	0.00	7.00	2011.47	2011-06-21
A/Perth/194/2011	EPI357636	2011-09-09	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.00	0.03	7	0.00	0.00	0.03	2.00	0.00	7.00	2011.69	2011-09-09
A/Perth/183/2011	EPI357666	2011-09-04	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.00	0.00	7	0.00	0.00	0.00	3.00	0.00	7.00	2011.68	2011-09-04
A/Saitama/319/2011	EPI348493	2011-10-16	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.00	0.00	7	0.00	0.00	0.00	2.00	0.00	7.00	2011.79	2011-10-17
A/Newcastle/17/2011	EPI334770	2011-06-19	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.00	0.00	7	0.00	0.00	0.00	2.00	0.00	6.00	2011.47	2011-06-20
A/Westmead/INS3_665/2011	EPI529881	2011-07-12	Oceania	Australia	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	7	0.00	0.00	0.00	2.00	0.00	6.00	2011.53	2011-07-12
A/Sydney/525/2011	EPI349269	2011-08-29	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.00	0.00	7	0.00	0.00	0.00	2.00	0.00	5.00	2011.66	2011-08-29
A/HongKong/7568/2012	EPI382668	2012-06-07	China	Hong Kong	unknown	Public Health Laboratory Services Branch Centre For Health Protection	unknown	unknown	unknown	0.00	0.00	7	0.00	0.00	0.00	2.00	0.00	9.00	2012.43	2012-06-06
A/Singapore/DMS1243/2012	EPI634296	2012-07-12	Southeast Asia	Singapore	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	7	0.00	0.00	0.00	2.00	0.00	7.00	2012.53	2012-07-12
A/Mie/2/2013	EPI433586	2013-01-07	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.00	0.00	7	0.00	0.00	0.00	3.00	0.00	10.00	2013.02	2013-01-07
A/Saipan/6194/2012	EPI457445	2012-12-29	Oceania	Northern Mariana Islands	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.00	7	0.00	0.00	0.00	3.00	0.00	8.00	2012.99	2012-12-28
A/Hawaii/47/2012	EPI422598	2012-12-17	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.00	7	0.00	0.00	0.00	3.00	0.00	9.00	2012.96	2012-12-16
A/Brisbane/96/2012	EPI450231	2012-06-19	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.00	0.00	7	0.00	0.00	0.00	3.00	0.00	7.00	2012.47	2012-06-19
A/HongKong/6610/2012	EPI382579	2012-06-01	China	Hong Kong	unknown	Public Health Laboratory Services Branch Centre For Health Protection	unknown	unknown	unknown	0.00	0.00	7	0.00	0.00	0.00	2.00	0.00	8.00	2012.42	2012-05-31
A/Singapore/DMS1240/2012	EPI634293	2012-06-09	Southeast Asia	Singapore	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	7	0.00	0.00	0.00	2.00	0.00	9.00	2012.44	2012-06-09
A/Yokohama/154/2012	EPI413167	2012-09-13	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.00	0.00	7	0.00	0.00	0.00	2.00	0.00	9.00	2012.70	2012-09-13
A/KhonKaen/INS3_649/2012	EPI529769	2012-09-20	Southeast Asia	Thailand	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	7	0.00	0.00	0.00	2.00	0.00	8.00	2012.72	2012-09-20
A/Southauckland/5/2012	EPI394218	2012-06-11	Oceania	New Zealand	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.00	0.00	7	0.00	0.00	0.00	2.00	0.00	7.00	2012.44	2012-06-10
A/Songkhla/416/2012	EPI450282	2012-12-03	Southeast Asia	Thailand	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.00	0.00	7	0.00	0.00	0.00	2.00	0.00	7.00	2012.93	2012-12-03
