Accession,Length,Host,Protein,Subtype,Country,Region,Month,Day,Year,Virus,Age,BirthYear
ACN32533,759,Human,PB2,H3N2,Italy,N,12,2,2002,Influenza A virus (A/Genoa/1/2002(H3N2))XX,5,1997
ACN32534,566,Human,HA,H3N2,Italy,N,10,24,2003,Influenza A virus (A/Genoa/14/2003(H3N2))XX,7,1996
ACN32537,469,Human,NA,H3N2,Italy,N,10,24,2003,Influenza A virus (A/Genoa/14/2003(H3N2))XX,7,1996
ACN32538,498,Human,NP,H3N2,Italy,N,10,24,2003,Influenza A virus (A/Genoa/14/2003(H3N2))XX,7,1996
ACN32541,716,Human,PA,H3N2,Italy,N,10,24,2003,Influenza A virus (A/Genoa/14/2003(H3N2))XX,7,1996
ABD15714,252,Human,M1,H3N2,New Zealand,S,9,21,2000,Influenza A virus (A/Hutt/82/2000(H3N2))XX,54,1946
ABD61362,469,Human,NA,H3N2,New Zealand,S,2,4,2000,Influenza A virus (A/Nelson Marlborough/1/2000(H3N2))XX,53,1947
ABD61364,230,Human,NS1,H3N2,New Zealand,S,2,4,2000,Influenza A virus (A/Nelson Marlborough/1/2000(H3N2))XX,53,1947
ABD61366,716,Human,PA,H3N2,New Zealand,S,2,4,2000,Influenza A virus (A/Nelson Marlborough/1/2000(H3N2))XX,53,1947
ABI93090,716,Human,PA,H3N2,Australia,S,NA,NA,2000,Influenza A virus (A/New South Wales/27/2000(H3N2))XX,69,1931
ABI93104,759,Human,PB2,H3N2,Australia,S,NA,NA,2000,Influenza A virus (A/New South Wales/28/2000(H3N2))XX,37,1963
ABI93106,252,Human,M1,H3N2,Australia,S,NA,NA,2000,Influenza A virus (A/New South Wales/29/2000(H3N2))XX,24,1976
ABI93108,469,Human,NA,H3N2,Australia,S,NA,NA,2000,Influenza A virus (A/New South Wales/29/2000(H3N2))XX,24,1976
ABI93115,759,Human,PB2,H3N2,Australia,S,NA,NA,2000,Influenza A virus (A/New South Wales/29/2000(H3N2))XX,24,1976
ABJ09341,469,Human,NA,H3N2,Australia,S,NA,NA,2000,Influenza A virus (A/New South Wales/32/2000(H3N2))XX,7,1993
ABI95305,566,Human,HA,H3N2,Australia,S,NA,NA,2000,Influenza A virus (A/New South Wales/33/2000(H3N2))XX,7,1993
ABJ09349,566,Human,HA,H3N2,Australia,S,NA,NA,2000,Influenza A virus (A/New South Wales/34/2000(H3N2))XX,42,1958
ABJ09352,469,Human,NA,H3N2,Australia,S,NA,NA,2000,Influenza A virus (A/New South Wales/34/2000(H3N2))XX,42,1958
ABJ09357,757,Human,PB1,H3N2,Australia,S,NA,NA,2000,Influenza A virus (A/New South Wales/34/2000(H3N2))XX,42,1958
ABI93116,566,Human,HA,H3N2,Australia,S,NA,NA,2000,Influenza A virus (A/New South Wales/36/2000(H3N2))XX,8,1992
ABI93119,469,Human,NA,H3N2,Australia,S,NA,NA,2000,Influenza A virus (A/New South Wales/36/2000(H3N2))XX,8,1992
AAY27863,566,Human,HA,H3N2,USA,N,10,28,2003,Influenza A virus (A/New York/1/2003(H3N2))XX,21,1982
AAY27868,230,Human,NS1,H3N2,USA,N,10,28,2003,Influenza A virus (A/New York/1/2003(H3N2))XX,21,1982
AAY27871,757,Human,PB1,H3N2,USA,N,10,28,2003,Influenza A virus (A/New York/1/2003(H3N2))XX,21,1982
AAX76623,566,Human,HA,H3N2,USA,N,1,30,2004,Influenza A virus (A/New York/10/2004(H3N2))XX,92,1912
AAX76625,97,Human,M2,H3N2,USA,N,1,30,2004,Influenza A virus (A/New York/10/2004(H3N2))XX,92,1912
AAX76630,716,Human,PA,H3N2,USA,N,1,30,2004,Influenza A virus (A/New York/10/2004(H3N2))XX,92,1912
AAX76631,757,Human,PB1,H3N2,USA,N,1,30,2004,Influenza A virus (A/New York/10/2004(H3N2))XX,92,1912
AAZ17767,90,Human,PB1-F2,H3N2,USA,N,1,30,2004,Influenza A virus (A/New York/10/2004(H3N2))XX,92,1912
AAX12791,566,Human,HA,H3N2,USA,N,1,22,2002,Influenza A virus (A/New York/100/2002(H3N2))XX,21,1981
AAX12794,469,Human,NA,H3N2,USA,N,1,22,2002,Influenza A virus (A/New York/100/2002(H3N2))XX,21,1981
AAX12798,716,Human,PA,H3N2,USA,N,1,22,2002,Influenza A virus (A/New York/100/2002(H3N2))XX,21,1981
AAX12800,759,Human,PB2,H3N2,USA,N,1,22,2002,Influenza A virus (A/New York/100/2002(H3N2))XX,21,1981
AAY28014,566,Human,HA,H3N2,USA,N,2,4,2002,Influenza A virus (A/New York/101/2002(H3N2))XX,19,1983
AAY28023,759,Human,PB2,H3N2,USA,N,2,4,2002,Influenza A virus (A/New York/101/2002(H3N2))XX,19,1983
AAY44639,757,Human,PB1,H3N2,USA,N,1,23,2002,Influenza A virus (A/New York/102/2002(H3N2))XX,18,1984
AAX56487,716,Human,PA,H3N2,USA,N,1,25,2002,Influenza A virus (A/New York/103/2002(H3N2))XX,19,1983
AAY28645,716,Human,PA,H3N2,USA,N,1,17,2002,Influenza A virus (A/New York/104/2002(H3N2))XX,18,1984
AAY28646,757,Human,PB1,H3N2,USA,N,1,17,2002,Influenza A virus (A/New York/104/2002(H3N2))XX,18,1984
AAY28285,566,Human,HA,H3N2,USA,N,2,5,2002,Influenza A virus (A/New York/105/2002(H3N2))XX,38,1964
AAY28292,716,Human,PA,H3N2,USA,N,2,5,2002,Influenza A virus (A/New York/105/2002(H3N2))XX,38,1964
AAX56583,469,Human,NA,H3N2,USA,N,1,20,2002,Influenza A virus (A/New York/106/2002(H3N2))XX,15,1987
AAY28648,566,Human,HA,H3N2,USA,N,1,16,2002,Influenza A virus (A/New York/107/2002(H3N2))XX,41,1961
AAY28651,469,Human,NA,H3N2,USA,N,1,16,2002,Influenza A virus (A/New York/107/2002(H3N2))XX,41,1961
AAY28654,121,Human,NS2,H3N2,USA,N,1,16,2002,Influenza A virus (A/New York/107/2002(H3N2))XX,41,1961
AAY28655,716,Human,PA,H3N2,USA,N,1,16,2002,Influenza A virus (A/New York/107/2002(H3N2))XX,41,1961
AAY28657,759,Human,PB2,H3N2,USA,N,1,16,2002,Influenza A virus (A/New York/107/2002(H3N2))XX,41,1961
AAX56590,566,Human,HA,H3N2,USA,N,1,31,2002,Influenza A virus (A/New York/108/2002(H3N2))XX,88,1914
AAX56599,759,Human,PB2,H3N2,USA,N,1,31,2002,Influenza A virus (A/New York/108/2002(H3N2))XX,88,1914
AAX57644,566,Human,HA,H3N2,USA,N,10,31,2003,Influenza A virus (A/New York/11/2003(H3N2))XX,8,1995
AAX57648,230,Human,NS1,H3N2,USA,N,10,31,2003,Influenza A virus (A/New York/11/2003(H3N2))XX,8,1995
AAX57650,716,Human,PA,H3N2,USA,N,10,31,2003,Influenza A virus (A/New York/11/2003(H3N2))XX,8,1995
AAX57652,759,Human,PB2,H3N2,USA,N,10,31,2003,Influenza A virus (A/New York/11/2003(H3N2))XX,8,1995
AAX11635,566,Human,HA,H3N2,USA,N,1,29,2002,Influenza A virus (A/New York/110/2002(H3N2))XX,24,1978
AAX11640,230,Human,NS1,H3N2,USA,N,1,29,2002,Influenza A virus (A/New York/110/2002(H3N2))XX,24,1978
AAZ17860,90,Human,PB1-F2,H3N2,USA,N,1,29,2002,Influenza A virus (A/New York/110/2002(H3N2))XX,24,1978
AAY18109,469,Human,NA,H3N2,USA,N,2,4,2002,Influenza A virus (A/New York/111/2002(H3N2))XX,78,1924
AAY18115,759,Human,PB2,H3N2,USA,N,2,4,2002,Influenza A virus (A/New York/111/2002(H3N2))XX,78,1924
AAY44899,468,Human,NA,H3N2,USA,N,1,29,2002,Influenza A virus (A/New York/112/2002(H3N2))XX,2,2000
AAY44900,495,Human,NP,H3N2,USA,N,1,29,2002,Influenza A virus (A/New York/112/2002(H3N2))XX,2,2000
AAY44905,757,Human,PB2,H3N2,USA,N,1,29,2002,Influenza A virus (A/New York/112/2002(H3N2))XX,2,2000
AAZ17862,87,Human,PB1-F2,H3N2,USA,N,1,29,2002,Influenza A virus (A/New York/112/2002(H3N2))XX,2,2000
AAX12801,566,Human,HA,H3N2,USA,N,1,31,2002,Influenza A virus (A/New York/113/2002(H3N2))XX,11,1991
AAX12804,469,Human,NA,H3N2,USA,N,1,31,2002,Influenza A virus (A/New York/113/2002(H3N2))XX,11,1991
AAX12810,759,Human,PB2,H3N2,USA,N,1,31,2002,Influenza A virus (A/New York/113/2002(H3N2))XX,11,1991
AAX57675,252,Human,M1,H3N2,USA,N,3,5,2002,Influenza A virus (A/New York/114/2002(H3N2))XX,54,1948
AAX57687,469,Human,NA,H3N2,USA,N,2,7,2002,Influenza A virus (A/New York/115/2002(H3N2))XX,0,2002
AAX57699,230,Human,NS1,H3N2,USA,N,1,30,2002,Influenza A virus (A/New York/116/2002(H3N2))XX,72,1930
AAX57701,716,Human,PA,H3N2,USA,N,1,30,2002,Influenza A virus (A/New York/116/2002(H3N2))XX,72,1930
AAX57703,759,Human,PB2,H3N2,USA,N,1,30,2002,Influenza A virus (A/New York/116/2002(H3N2))XX,72,1930
AAX76670,716,Human,PA,H3N2,USA,N,2,1,2002,Influenza A virus (A/New York/117/2002(H3N2))XX,72,1930
AAX76671,757,Human,PB1,H3N2,USA,N,2,1,2002,Influenza A virus (A/New York/117/2002(H3N2))XX,72,1930
AAZ17867,90,Human,PB1-F2,H3N2,USA,N,2,1,2002,Influenza A virus (A/New York/117/2002(H3N2))XX,72,1930
AAY44641,566,Human,HA,H3N2,USA,N,1,30,2002,Influenza A virus (A/New York/118/2002(H3N2))XX,43,1959
AAX12733,97,Human,M2,H3N2,USA,N,12,13,2003,Influenza A virus (A/New York/12/2003(H3N2))XX,20,1983
AAX12734,468,Human,NA,H3N2,USA,N,12,13,2003,Influenza A virus (A/New York/12/2003(H3N2))XX,20,1983
AAX57784,566,Human,HA,H3N2,USA,N,2,19,2002,Influenza A virus (A/New York/120/2002(H3N2))XX,92,1910
AAX57787,469,Human,NA,H3N2,USA,N,2,19,2002,Influenza A virus (A/New York/120/2002(H3N2))XX,92,1910
AAX12815,498,Human,NP,H3N2,USA,N,2,26,2002,Influenza A virus (A/New York/121/2002(H3N2))XX,81,1921
AAX12819,757,Human,PB1,H3N2,USA,N,2,26,2002,Influenza A virus (A/New York/121/2002(H3N2))XX,81,1921
AAY28405,566,Human,HA,H3N2,USA,N,3,21,2002,Influenza A virus (A/New York/122/2002(H3N2))XX,1,2001
AAY28406,252,Human,M1,H3N2,USA,N,3,21,2002,Influenza A virus (A/New York/122/2002(H3N2))XX,1,2001
AAY28409,498,Human,NP,H3N2,USA,N,3,21,2002,Influenza A virus (A/New York/122/2002(H3N2))XX,1,2001
AAY28413,757,Human,PB1,H3N2,USA,N,3,21,2002,Influenza A virus (A/New York/122/2002(H3N2))XX,1,2001
AAY28414,759,Human,PB2,H3N2,USA,N,3,21,2002,Influenza A virus (A/New York/122/2002(H3N2))XX,1,2001
ABA43200,566,Human,HA,H3N2,USA,N,12,16,2004,Influenza A virus (A/New York/123/2004(H3N2))XX,24,1980
ABA43208,757,Human,PB1,H3N2,USA,N,12,16,2004,Influenza A virus (A/New York/123/2004(H3N2))XX,24,1980
ABA43209,759,Human,PB2,H3N2,USA,N,12,16,2004,Influenza A virus (A/New York/123/2004(H3N2))XX,24,1980
ABU87911,52,Human,PB1-F2,H3N2,USA,N,12,16,2004,Influenza A virus (A/New York/123/2004(H3N2))XX,24,1980
AAX56490,566,Human,HA,H3N2,USA,N,11,27,2001,Influenza A virus (A/New York/124/2001(H3N2))XX,20,1981
AAX56491,252,Human,M1,H3N2,USA,N,11,27,2001,Influenza A virus (A/New York/124/2001(H3N2))XX,20,1981
AAX56492,93,Human,M2,H3N2,USA,N,11,27,2001,Influenza A virus (A/New York/124/2001(H3N2))XX,20,1981
AAX56496,119,Human,NS2,H3N2,USA,N,11,27,2001,Influenza A virus (A/New York/124/2001(H3N2))XX,20,1981
AAX56497,716,Human,PA,H3N2,USA,N,11,27,2001,Influenza A virus (A/New York/124/2001(H3N2))XX,20,1981
AAX56499,759,Human,PB2,H3N2,USA,N,11,27,2001,Influenza A virus (A/New York/124/2001(H3N2))XX,20,1981
AAZ17873,90,Human,PB1-F2,H3N2,USA,N,11,27,2001,Influenza A virus (A/New York/124/2001(H3N2))XX,20,1981
AAY47023,566,Human,HA,H3N2,USA,N,1,14,2002,Influenza A virus (A/New York/125/2002(H3N2))XX,35,1967
AAY47026,468,Human,NA,H3N2,USA,N,1,14,2002,Influenza A virus (A/New York/125/2002(H3N2))XX,35,1967
AAY47031,755,Human,PB1,H3N2,USA,N,1,14,2002,Influenza A virus (A/New York/125/2002(H3N2))XX,35,1967
AAZ38539,566,Human,HA,H3N2,USA,N,3,1,2002,Influenza A virus (A/New York/126/2002(H3N2))XX,2,2000
AAZ38542,468,Human,NA,H3N2,USA,N,3,1,2002,Influenza A virus (A/New York/126/2002(H3N2))XX,2,2000
AAZ38549,759,Human,PB2,H3N2,USA,N,3,1,2002,Influenza A virus (A/New York/126/2002(H3N2))XX,2,2000
AAX56507,716,Human,PA,H3N2,USA,N,1,25,2002,Influenza A virus (A/New York/128/2002(H3N2))XX,19,1983
AAX56508,757,Human,PB1,H3N2,USA,N,1,25,2002,Influenza A virus (A/New York/128/2002(H3N2))XX,19,1983
AAX47515,566,Human,HA,H3N2,USA,N,2,12,2002,Influenza A virus (A/New York/129/2002(H3N2))XX,38,1964
AAX47519,498,Human,NP,H3N2,USA,N,2,12,2002,Influenza A virus (A/New York/129/2002(H3N2))XX,38,1964
AAY18095,759,Human,PB2,H3N2,USA,N,11,12,2003,Influenza A virus (A/New York/13/2003(H3N2))XX,23,1980
AAX57734,566,Human,HA,H3N2,USA,N,3,11,2002,Influenza A virus (A/New York/130/2002(H3N2))XX,4,1998
AAX57738,498,Human,NP,H3N2,USA,N,3,11,2002,Influenza A virus (A/New York/130/2002(H3N2))XX,4,1998
AAX57741,716,Human,PA,H3N2,USA,N,3,11,2002,Influenza A virus (A/New York/130/2002(H3N2))XX,4,1998
AAX35861,566,Human,HA,H3N2,USA,N,12,23,2001,Influenza A virus (A/New York/131/2001(H3N2))XX,0,2001
AAX35863,97,Human,M2,H3N2,USA,N,12,23,2001,Influenza A virus (A/New York/131/2001(H3N2))XX,0,2001
AAX35864,469,Human,NA,H3N2,USA,N,12,23,2001,Influenza A virus (A/New York/131/2001(H3N2))XX,0,2001
AAX35869,757,Human,PB1,H3N2,USA,N,12,23,2001,Influenza A virus (A/New York/131/2001(H3N2))XX,0,2001
AAX35870,759,Human,PB2,H3N2,USA,N,12,23,2001,Influenza A virus (A/New York/131/2001(H3N2))XX,0,2001
AAX56510,566,Human,HA,H3N2,USA,N,1,27,2002,Influenza A virus (A/New York/132/2002(H3N2))XX,0,2002
AAX56518,757,Human,PB1,H3N2,USA,N,1,27,2002,Influenza A virus (A/New York/132/2002(H3N2))XX,0,2002
AAX56519,759,Human,PB2,H3N2,USA,N,1,27,2002,Influenza A virus (A/New York/132/2002(H3N2))XX,0,2002
AAX47538,469,Human,NA,H3N2,USA,N,2,6,2002,Influenza A virus (A/New York/133/2002(H3N2))XX,0,2002
AAX47544,759,Human,PB2,H3N2,USA,N,2,6,2002,Influenza A virus (A/New York/133/2002(H3N2))XX,0,2002
AAZ20001,87,Human,PB1-F2,H3N2,USA,N,2,6,2002,Influenza A virus (A/New York/133/2002(H3N2))XX,0,2002
AAX35871,566,Human,HA,H3N2,USA,N,2,14,2002,Influenza A virus (A/New York/135/2002(H3N2))XX,13,1989
AAX35877,121,Human,NS2,H3N2,USA,N,2,14,2002,Influenza A virus (A/New York/135/2002(H3N2))XX,13,1989
AAY28628,566,Human,HA,H3N2,USA,N,3,19,2002,Influenza A virus (A/New York/136/2002(H3N2))XX,5,1997
AAY28631,468,Human,NA,H3N2,USA,N,3,19,2002,Influenza A virus (A/New York/136/2002(H3N2))XX,5,1997
AAY28633,230,Human,NS1,H3N2,USA,N,3,19,2002,Influenza A virus (A/New York/136/2002(H3N2))XX,5,1997
AAY28637,759,Human,PB2,H3N2,USA,N,3,19,2002,Influenza A virus (A/New York/136/2002(H3N2))XX,5,1997
AAZ20004,87,Human,PB1-F2,H3N2,USA,N,3,19,2002,Influenza A virus (A/New York/136/2002(H3N2))XX,5,1997
AAY28280,230,Human,NS1,H3N2,USA,N,10,4,1999,Influenza A virus (A/New York/137/1999(H3N2))XX,59,1940
AAY18166,566,Human,HA,H3N2,USA,N,10,3,1999,Influenza A virus (A/New York/138/1999(H3N2))XX,58,1941
AAY18169,469,Human,NA,H3N2,USA,N,10,3,1999,Influenza A virus (A/New York/138/1999(H3N2))XX,58,1941
AAY18173,716,Human,PA,H3N2,USA,N,10,3,1999,Influenza A virus (A/New York/138/1999(H3N2))XX,58,1941
AAY44887,249,Human,M1,H3N2,USA,N,12,4,1999,Influenza A virus (A/New York/139/1999(H3N2))XX,80,1919
AAY44888,94,Human,M2,H3N2,USA,N,12,4,1999,Influenza A virus (A/New York/139/1999(H3N2))XX,80,1919
AAY44889,468,Human,NA,H3N2,USA,N,12,4,1999,Influenza A virus (A/New York/139/1999(H3N2))XX,80,1919
AAY18096,566,Human,HA,H3N2,USA,N,12,3,2003,Influenza A virus (A/New York/14/2003(H3N2))XX,21,1982
AAY18099,469,Human,NA,H3N2,USA,N,12,3,2003,Influenza A virus (A/New York/14/2003(H3N2))XX,21,1982
AAY18103,716,Human,PA,H3N2,USA,N,12,3,2003,Influenza A virus (A/New York/14/2003(H3N2))XX,21,1982
AAZ83289,250,Human,M1,H3N2,USA,N,12,27,1999,Influenza A virus (A/New York/140/1999(H3N2))XX,86,1913
AAZ83290,90,Human,M2,H3N2,USA,N,12,27,1999,Influenza A virus (A/New York/140/1999(H3N2))XX,86,1913
AAZ83295,716,Human,PA,H3N2,USA,N,12,27,1999,Influenza A virus (A/New York/140/1999(H3N2))XX,86,1913
AAY59034,236,Human,NA,H3N2,USA,N,11,9,1999,Influenza A virus (A/New York/141/1999(H3N2))XX,21,1978
AAY59035,566,Human,HA,H3N2,USA,N,11,9,1999,Influenza A virus (A/New York/141/1999(H3N2))XX,21,1978
AAY59038,463,Human,NA,H3N2,USA,N,11,9,1999,Influenza A virus (A/New York/141/1999(H3N2))XX,21,1978
AAY59042,716,Human,PA,H3N2,USA,N,11,9,1999,Influenza A virus (A/New York/141/1999(H3N2))XX,21,1978
AAY59043,757,Human,PB1,H3N2,USA,N,11,9,1999,Influenza A virus (A/New York/141/1999(H3N2))XX,21,1978
AAY59044,759,Human,PB2,H3N2,USA,N,11,9,1999,Influenza A virus (A/New York/141/1999(H3N2))XX,21,1978
AAY64212,566,Human,HA,H3N2,USA,N,2,6,2000,Influenza A virus (A/New York/142/2000(H3N2))XX,20,1980
AAY64213,252,Human,M1,H3N2,USA,N,2,6,2000,Influenza A virus (A/New York/142/2000(H3N2))XX,20,1980
AAY64219,716,Human,PA,H3N2,USA,N,2,6,2000,Influenza A virus (A/New York/142/2000(H3N2))XX,20,1980
AAY64220,757,Human,PB1,H3N2,USA,N,2,6,2000,Influenza A virus (A/New York/142/2000(H3N2))XX,20,1980
AAX57794,566,Human,HA,H3N2,USA,N,11,26,1999,Influenza A virus (A/New York/143/1999(H3N2))XX,22,1977
AAY44755,566,Human,HA,H3N2,USA,N,11,9,1999,Influenza A virus (A/New York/145/1999(H3N2))XX,21,1978
AAY44758,469,Human,NA,H3N2,USA,N,11,9,1999,Influenza A virus (A/New York/145/1999(H3N2))XX,21,1978
AAY44759,495,Human,NP,H3N2,USA,N,11,9,1999,Influenza A virus (A/New York/145/1999(H3N2))XX,21,1978
AAZ20011,90,Human,PB1-F2,H3N2,USA,N,11,9,1999,Influenza A virus (A/New York/145/1999(H3N2))XX,21,1978
AAX76683,566,Human,HA,H3N2,USA,N,2,9,2000,Influenza A virus (A/New York/148/2000(H3N2))XX,12,1988
AAX56543,469,Human,NA,H3N2,USA,N,11,29,1999,Influenza A virus (A/New York/149/1999(H3N2))XX,65,1934
AAX56545,230,Human,NS1,H3N2,USA,N,11,29,1999,Influenza A virus (A/New York/149/1999(H3N2))XX,65,1934
AAX56547,716,Human,PA,H3N2,USA,N,11,29,1999,Influenza A virus (A/New York/149/1999(H3N2))XX,65,1934
AAX56384,498,Human,NP,H3N2,USA,N,11,12,2003,Influenza A virus (A/New York/15/2003(H3N2))XX,15,1988
AAX56387,716,Human,PA,H3N2,USA,N,11,12,2003,Influenza A virus (A/New York/15/2003(H3N2))XX,15,1988
AAX56389,759,Human,PB2,H3N2,USA,N,11,12,2003,Influenza A virus (A/New York/15/2003(H3N2))XX,15,1988
AAZ17772,90,Human,PB1-F2,H3N2,USA,N,11,12,2003,Influenza A virus (A/New York/15/2003(H3N2))XX,15,1988
AAX56558,757,Human,PB1,H3N2,USA,N,1,28,2000,Influenza A virus (A/New York/150/2000(H3N2))XX,72,1928
AAX57754,566,Human,HA,H3N2,USA,N,12,4,1999,Influenza A virus (A/New York/151/1999(H3N2))XX,97,1902
AAY28363,566,Human,HA,H3N2,USA,N,1,18,2000,Influenza A virus (A/New York/152/2000(H3N2))XX,51,1949
AAY28365,252,Human,M1,H3N2,USA,N,1,18,2000,Influenza A virus (A/New York/152/2000(H3N2))XX,51,1949
AAY28369,498,Human,NP,H3N2,USA,N,1,18,2000,Influenza A virus (A/New York/152/2000(H3N2))XX,51,1949
AAY28370,230,Human,NS1,H3N2,USA,N,1,18,2000,Influenza A virus (A/New York/152/2000(H3N2))XX,51,1949
AAZ74617,566,Human,HA,H3N2,USA,N,12,9,1999,Influenza A virus (A/New York/153/1999(H3N2))XX,0,1999
AAZ74619,97,Human,M2,H3N2,USA,N,12,9,1999,Influenza A virus (A/New York/153/1999(H3N2))XX,0,1999
AAZ74624,716,Human,PA,H3N2,USA,N,12,9,1999,Influenza A virus (A/New York/153/1999(H3N2))XX,0,1999
AAZ74627,759,Human,PB2,H3N2,USA,N,12,9,1999,Influenza A virus (A/New York/153/1999(H3N2))XX,0,1999
AAX57767,469,Human,NA,H3N2,USA,N,1,24,2000,Influenza A virus (A/New York/154/2000(H3N2))XX,53,1947
AAY47055,469,Human,NA,H3N2,USA,N,12,7,1999,Influenza A virus (A/New York/155/1999(H3N2))XX,29,1970
AAY44651,566,Human,HA,H3N2,USA,N,1,5,2000,Influenza A virus (A/New York/156/2000(H3N2))XX,41,1959
AAY44654,469,Human,NA,H3N2,USA,N,1,5,2000,Influenza A virus (A/New York/156/2000(H3N2))XX,41,1959
AAX76693,566,Human,HA,H3N2,USA,N,12,15,1999,Influenza A virus (A/New York/157/1999(H3N2))XX,0,1999
AAX76703,566,Human,HA,H3N2,USA,N,1,17,2000,Influenza A virus (A/New York/158/2000(H3N2))XX,89,1911
AAX76711,756,Human,PB1,H3N2,USA,N,1,17,2000,Influenza A virus (A/New York/158/2000(H3N2))XX,89,1911
AAX11472,716,Human,PA,H3N2,USA,N,11,11,2003,Influenza A virus (A/New York/16/2003(H3N2))XX,22,1981
AAY18159,469,Human,NA,H3N2,USA,N,1,3,2000,Influenza A virus (A/New York/160/2000(H3N2))XX,73,1927
AAX57777,469,Human,NA,H3N2,USA,N,12,16,1999,Influenza A virus (A/New York/161/1999(H3N2))XX,79,1920
AAZ20024,90,Human,PB1-F2,H3N2,USA,N,12,16,1999,Influenza A virus (A/New York/161/1999(H3N2))XX,79,1920
AAY28551,566,Human,HA,H3N2,USA,N,2,9,2000,Influenza A virus (A/New York/162/2000(H3N2))XX,53,1947
AAY28558,716,Human,PA,H3N2,USA,N,2,9,2000,Influenza A virus (A/New York/162/2000(H3N2))XX,53,1947
AAX57804,566,Human,HA,H3N2,USA,N,12,22,1999,Influenza A virus (A/New York/163/1999(H3N2))XX,43,1956
AAZ20026,90,Human,PB1-F2,H3N2,USA,N,12,22,1999,Influenza A virus (A/New York/163/1999(H3N2))XX,43,1956
AAY28591,566,Human,HA,H3N2,USA,N,12,27,1999,Influenza A virus (A/New York/164/1999(H3N2))XX,67,1932
AAY28599,757,Human,PB1,H3N2,USA,N,12,27,1999,Influenza A virus (A/New York/164/1999(H3N2))XX,67,1932
AAY28600,759,Human,PB2,H3N2,USA,N,12,27,1999,Influenza A virus (A/New York/164/1999(H3N2))XX,67,1932
AAZ20027,90,Human,PB1-F2,H3N2,USA,N,12,27,1999,Influenza A virus (A/New York/164/1999(H3N2))XX,67,1932
AAY18181,230,Human,NS1,H3N2,USA,N,1,18,2000,Influenza A virus (A/New York/165/2000(H3N2))XX,96,1904
AAY18183,716,Human,PA,H3N2,USA,N,1,18,2000,Influenza A virus (A/New York/165/2000(H3N2))XX,96,1904
AAX76676,467,Human,NA,H3N2,USA,N,12,24,1999,Influenza A virus (A/New York/166/1999(H3N2))XX,39,1960
AAX57817,469,Human,NA,H3N2,USA,N,12,30,1999,Influenza A virus (A/New York/167/1999(H3N2))XX,67,1932
AAX57822,757,Human,PB1,H3N2,USA,N,12,30,1999,Influenza A virus (A/New York/167/1999(H3N2))XX,67,1932
AAX76716,466,Human,NA,H3N2,USA,N,1,3,2000,Influenza A virus (A/New York/168/2000(H3N2))XX,58,1942
AAX57824,566,Human,HA,H3N2,USA,N,1,3,2000,Influenza A virus (A/New York/169/2000(H3N2))XX,85,1915
AAY28347,97,Human,M2,H3N2,USA,N,11,16,2003,Influenza A virus (A/New York/17/2003(H3N2))XX,18,1985
AAY28354,757,Human,PB2,H3N2,USA,N,11,16,2003,Influenza A virus (A/New York/17/2003(H3N2))XX,18,1985
AAX57842,757,Human,PB1,H3N2,USA,N,1,5,2000,Influenza A virus (A/New York/170/2000(H3N2))XX,23,1977
AAZ20032,90,Human,PB1-F2,H3N2,USA,N,1,5,2000,Influenza A virus (A/New York/170/2000(H3N2))XX,23,1977
AAX57847,469,Human,NA,H3N2,USA,N,12,30,1999,Influenza A virus (A/New York/171/1999(H3N2))XX,0,1999
AAX57853,759,Human,PB2,H3N2,USA,N,12,30,1999,Influenza A virus (A/New York/171/1999(H3N2))XX,0,1999
AAX57857,469,Human,NA,H3N2,USA,N,12,26,1999,Influenza A virus (A/New York/172/1999(H3N2))XX,79,1920
AAX57861,716,Human,PA,H3N2,USA,N,12,26,1999,Influenza A virus (A/New York/172/1999(H3N2))XX,79,1920
AAX57863,759,Human,PB2,H3N2,USA,N,12,26,1999,Influenza A virus (A/New York/172/1999(H3N2))XX,79,1920
AAX57864,566,Human,HA,H3N2,USA,N,2,2,2000,Influenza A virus (A/New York/173/2000(H3N2))XX,91,1909
AAX57865,252,Human,M1,H3N2,USA,N,2,2,2000,Influenza A virus (A/New York/173/2000(H3N2))XX,91,1909
AAX57871,716,Human,PA,H3N2,USA,N,2,2,2000,Influenza A virus (A/New York/173/2000(H3N2))XX,91,1909
AAZ20035,90,Human,PB1-F2,H3N2,USA,N,2,2,2000,Influenza A virus (A/New York/173/2000(H3N2))XX,91,1909
AAX57877,469,Human,NA,H3N2,USA,N,1,4,2000,Influenza A virus (A/New York/174/2000(H3N2))XX,36,1964
AAX57879,230,Human,NS1,H3N2,USA,N,1,4,2000,Influenza A virus (A/New York/174/2000(H3N2))XX,36,1964
AAX57881,716,Human,PA,H3N2,USA,N,1,4,2000,Influenza A virus (A/New York/174/2000(H3N2))XX,36,1964
AAX57892,757,Human,PB1,H3N2,USA,N,1,6,2000,Influenza A virus (A/New York/175/2000(H3N2))XX,73,1927
AAX57893,759,Human,PB2,H3N2,USA,N,1,6,2000,Influenza A virus (A/New York/175/2000(H3N2))XX,73,1927
AAX57894,566,Human,HA,H3N2,USA,N,3,1,2000,Influenza A virus (A/New York/176/2000(H3N2))XX,80,1920
AAX57897,469,Human,NA,H3N2,USA,N,3,1,2000,Influenza A virus (A/New York/176/2000(H3N2))XX,80,1920
